drug_id,source,inchikey,nn_analog,target_chembl_id,sim_score,org_class,target_name,calibrated,wall,depth
TCS-359,broad_hub,FSPQCTGGIANIJZ-UHFFFAOYSA-N,0.4363636374473572,CHEMBL2026,0.4237288236618042,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
TCS-5861528,broad_hub,ZUTUWJYMCADJHD-GFCCVEGCSA-N,0.8269230723381042,CHEMBL2026,0.6842105388641357,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
TCS-OX2-29,broad_hub,COFVZFLCAOUMJT-OAQYLSRUSA-N,0.4285714328289032,CHEMBL2026,0.4285714328289032,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
TG-100713,broad_hub,UOORQSPLBHUQDQ-UHFFFAOYSA-N,0.3902438879013061,CHEMBL1926,0.3818181753158569,fungal,Dihydrofolate reductase,0.38,below,mid(0.35-0.45)
TG100-115,broad_hub,UJIAQDJKSXQLIT-UHFFFAOYSA-N,0.3846153914928436,CHEMBL1809,0.3846153914928436,bacterial,Dihydrofolate reductase,0.38,below,mid(0.35-0.45)
TMC647055,broad_hub,UOBYJVFBFSLCTQ-UHFFFAOYSA-N,1.0,CHEMBL4296320,1.0,viral,RNA-directed RNA polymerase,0.8,above,above(>=0.5)
TMS,broad_hub,JDBCWSHYEQUBLW-AATRIKPKSA-N,1.0,CHEMBL2026,0.4324324429035187,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
TUG-891,broad_hub,LPGBXHWIQNZEJB-UHFFFAOYSA-N,0.3636363744735718,CHEMBL2026,0.3636363744735718,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
TY-52156,broad_hub,XONRRGIRSGNWFP-UHFFFAOYSA-N,0.395348846912384,CHEMBL2026,0.3571428656578064,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
U-0521,broad_hub,VDQLKIBLTMPAHI-UHFFFAOYSA-N,1.0,CHEMBL4523582,0.5333333611488342,viral,Replicase polyprotein 1ab,0.75,above,above(>=0.5)
U-18666A,broad_hub,DMZCCFMMPHJWQY-BKWLFHPQSA-N,1.0,CHEMBL2026,0.3787878751754761,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
UAMC-00039,broad_hub,DNVZYSMOLXCOLY-HNNXBMFYSA-N,0.3829787373542785,CHEMBL2026,0.3382352888584137,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
UC-112,broad_hub,LTGLGIQQZXSLLF-UHFFFAOYSA-N,0.3088235259056091,CHEMBL2026,0.3088235259056091,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
UCL-2077,broad_hub,PQFNWDHABGBCHB-UHFFFAOYSA-N,0.4166666567325592,CHEMBL2026,0.3529411852359772,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
UF-010,broad_hub,BVQCFCYPFJOOAV-UHFFFAOYSA-N,0.4000000059604645,CHEMBL2026,0.3877550959587097,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
UNC1215,broad_hub,PQOOIERVZAXHBP-UHFFFAOYSA-N,0.3620689511299133,CHEMBL1849,0.3620689511299133,bacterial,Enoyl-[acyl-carrier-protein] reductase [NADH],0.38,below,mid(0.35-0.45)
UNC3230,broad_hub,RZCNASHHHSKTGP-UHFFFAOYSA-N,0.5333333611488342,CHEMBL2026,0.5333333611488342,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
UNC669,broad_hub,CQERVFFAOOUFEQ-UHFFFAOYSA-N,0.3913043439388275,CHEMBL2026,0.375,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
UNC926,broad_hub,OWGLFIKZKQOYHZ-UHFFFAOYSA-N,0.3636363744735718,CHEMBL2026,0.3400000035762787,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
URB597,broad_hub,ROFVXGGUISEHAM-UHFFFAOYSA-N,0.7599999904632568,CHEMBL2026,0.3529411852359772,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
V-51,broad_hub,KKCOGNFFBYOKMA-UHFFFAOYSA-N,0.3902438879013061,CHEMBL2026,0.3333333432674408,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
VCH-916,broad_hub,LNYKGELUODVSNS-YSXIEMCBSA-N,0.4722222089767456,CHEMBL4296320,0.4722222089767456,viral,RNA-directed RNA polymerase,0.62,below,edge(0.45-0.5)
VE-821,broad_hub,DUIHHZKTCSNTGM-UHFFFAOYSA-N,0.3606557250022888,CHEMBL2026,0.3076923191547394,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
