metabolite,chebi_id,met_smiles,target_chembl_id,target_name,target_class,analog_similarity,nn_analog,metabolite_promiscuity,tier
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.6470588235294118,0.6470588235294118,15,A- (0.6-0.7)
L-arginine,CHEBI:16467,N=C(N)NCCC[C@H](N)C(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6470588235294118,0.6470588235294118,21,A- (0.6-0.7)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.6470588235294118,0.6470588235294118,15,A- (0.6-0.7)
L-arginine,CHEBI:16467,N=C(N)NCCC[C@H](N)C(=O)O,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6470588235294118,0.6470588235294118,21,A- (0.6-0.7)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.6470588235294118,0.6470588235294118,15,A- (0.6-0.7)
L-arginine,CHEBI:16467,N=C(N)NCCC[C@H](N)C(=O)O,CHEMBL216,Muscarinic acetylcholine receptor M1,GPCR (aminergic/purinergic),0.6470588235294118,0.6470588235294118,21,A- (0.6-0.7)
rifampicin,CHEBI:28077,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.6454545454545455,0.6454545454545455,12,A- (0.6-0.7)
rifampicin,CHEBI:28077,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL236,Delta-type opioid receptor,GPCR (aminergic/purinergic),0.6454545454545455,0.6454545454545455,12,A- (0.6-0.7)
rifampicin,CHEBI:28077,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL230,Prostaglandin G/H synthase 2,Enzyme (other),0.6454545454545455,0.6454545454545455,12,A- (0.6-0.7)
rifampicin,CHEBI:28077,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL226,Adenosine receptor A1,GPCR (aminergic/purinergic),0.6454545454545455,0.6454545454545455,12,A- (0.6-0.7)
rifampicin,CHEBI:28077,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL234,D(3) dopamine receptor,GPCR (aminergic/purinergic),0.6454545454545455,0.6454545454545455,12,A- (0.6-0.7)
L-citrulline,CHEBI:16349,NC(=O)NCCC[C@H](N)C(=O)O,CHEMBL4803,Nitric oxide synthase 3,Enzyme (other),0.6451612903225806,0.6451612903225806,15,A- (0.6-0.7)
L-citrulline,CHEBI:16349,NC(=O)NCCC[C@H](N)C(=O)O,CHEMBL3568,Nitric oxide synthase 1,Enzyme (other),0.6451612903225806,0.6451612903225806,15,A- (0.6-0.7)
pyridoxine 5'-phosphate,CHEBI:28803,Cc1ncc(COP(=O)(O)O)c(CO)c1O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6428571428571429,0.6428571428571429,2,A- (0.6-0.7)
5-(2-hydroxyethyl)-4-methylthiazole,CHEBI:17957,Cc1ncsc1CCO,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6428571428571429,0.6428571428571429,2,A- (0.6-0.7)
5-(2-hydroxyethyl)-4-methylthiazole,CHEBI:17957,Cc1ncsc1CCO,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6428571428571429,0.6428571428571429,2,A- (0.6-0.7)
O-phospho-L-homoserine,CHEBI:15961,N[C@@H](CCOP(=O)(O)O)C(=O)O,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.6428571428571429,0.6428571428571429,14,A- (0.6-0.7)
isopentenyldehydrorhodopin,CHEBI:87162,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@H](CC=C(C)C)C(C)(C)O,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.6410256410256411,0.6410256410256411,4,A- (0.6-0.7)
isopentenyldehydrorhodopin,CHEBI:87162,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@H](CC=C(C)C)C(C)(C)O,CHEMBL208,Progesterone receptor,Nuclear receptor,0.6410256410256411,0.6410256410256411,4,A- (0.6-0.7)
dihydroisopentenyldehydrorhodopin,CHEBI:87163,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)CC[C@H](CC=C(C)C)C(C)(C)O,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.6410256410256411,0.6410256410256411,4,A- (0.6-0.7)
dihydroisopentenyldehydrorhodopin,CHEBI:87163,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)CC[C@H](CC=C(C)C)C(C)(C)O,CHEMBL208,Progesterone receptor,Nuclear receptor,0.6410256410256411,0.6410256410256411,4,A- (0.6-0.7)
glutathionylspermidine,CHEBI:16613,NCCCCNCCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H](N)C(=O)O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.64,0.64,10,A- (0.6-0.7)
microcystin LF,CHEBI:133297,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,CHEMBL335,Tyrosine-protein phosphatase non-receptor type 1,Other receptor/GPCR,0.6396396396396397,0.6396396396396397,5,A- (0.6-0.7)
"2,4-diacetylphloroglucinol",CHEBI:78688,CC(=O)c1c(O)cc(O)c(C(C)=O)c1O,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.6363636363636364,0.6363636363636364,13,A- (0.6-0.7)
L-arginine,CHEBI:16467,N=C(N)NCCC[C@H](N)C(=O)O,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.6363636363636364,0.6363636363636364,21,A- (0.6-0.7)
minocycline,CHEBI:50694,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.6329113924050633,0.6329113924050633,8,A- (0.6-0.7)
framycetin,CHEBI:7508,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6326530612244898,0.6326530612244898,4,A- (0.6-0.7)
"1,2-dibutyrin",CHEBI:76537,CCCC(=O)OCC(CO)OC(=O)CCC,CHEMBL2996,Protein kinase C delta type,Kinase,0.631578947368421,0.631578947368421,10,A- (0.6-0.7)
adonixanthin,CHEBI:80217,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,Enzyme (other),0.631578947368421,0.631578947368421,12,A- (0.6-0.7)
(N(omega)-L-arginino)succinic acid,CHEBI:15682,N=C(NCCC[C@H](N)C(=O)O)NC(CC(=O)O)C(=O)O,CHEMBL4481,"Nitric oxide synthase, inducible",Enzyme (other),0.631578947368421,0.631578947368421,16,A- (0.6-0.7)
aclacinomycin S zwitterion,CHEBI:78303,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H]([NH+](C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2[O-])C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC,CHEMBL1833,5-hydroxytryptamine receptor 2B,GPCR (aminergic/purinergic),0.6310679611650486,0.6310679611650486,4,A- (0.6-0.7)
aclacinomycin S zwitterion,CHEBI:78303,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H]([NH+](C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2[O-])C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC,CHEMBL333,72 kDa type IV collagenase,Other,0.6310679611650486,0.6310679611650486,4,A- (0.6-0.7)
4-CDP-2-C-methyl-D-erythritol,CHEBI:16578,C[C@](O)(CO)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6307692307692307,0.6307692307692307,16,A- (0.6-0.7)
methionine,CHEBI:16811,CSCCC(N)C(=O)O,CHEMBL3356,Cytochrome P450 1A2,CYP (metabolism),0.6296296296296297,0.6296296296296297,14,A- (0.6-0.7)
geranyl diphosphate,CHEBI:17211,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O,CHEMBL4769,Geranylgeranyl pyrophosphate synthase,Enzyme (other),0.627906976744186,0.627906976744186,20,A- (0.6-0.7)
pyridoxamine 5'-phosphate,CHEBI:18335,Cc1ncc(COP(=O)(O)O)c(CN)c1O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.627906976744186,0.627906976744186,2,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL2003,Retinoic acid receptor gamma,Nuclear receptor,0.6274509803921569,0.6274509803921569,12,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,Enzyme (other),0.6274509803921569,0.6274509803921569,12,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6274509803921569,0.6274509803921569,12,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6274509803921569,0.6274509803921569,12,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL2008,Retinoic acid receptor beta,Nuclear receptor,0.6274509803921569,0.6274509803921569,12,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL2061,Retinoic acid receptor RXR-alpha,Nuclear receptor,0.6274509803921569,0.6274509803921569,12,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL2055,Retinoic acid receptor alpha,Nuclear receptor,0.6274509803921569,0.6274509803921569,12,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6274509803921569,0.6274509803921569,12,A- (0.6-0.7)
4-CDP-2-C-methyl-D-erythritol 2-phosphate,CHEBI:16840,C[C@@](CO)(OP(=O)(O)O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6268656716417911,0.6268656716417911,15,A- (0.6-0.7)
"3,4-dihydrospheroidene",CHEBI:45707,COC(C)(C)CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)CCC=C(C)CCC=C(C)C,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.625,0.625,4,A- (0.6-0.7)
chlorobactene,CHEBI:80167,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/c1c(C)ccc(C)c1C,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.625,0.625,14,A- (0.6-0.7)
chlorobactene,CHEBI:80167,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/c1c(C)ccc(C)c1C,CHEMBL208,Progesterone receptor,Nuclear receptor,0.625,0.625,14,A- (0.6-0.7)
(R)-S-lactoylglutathione,CHEBI:15694,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.625,0.625,6,A- (0.6-0.7)
N(8)-acetylspermidine,CHEBI:27911,CC(=O)NCCCCNCCCN,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.625,0.625,13,A- (0.6-0.7)
"3,4-dihydrospheroidene",CHEBI:45707,COC(C)(C)CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)CCC=C(C)CCC=C(C)C,CHEMBL208,Progesterone receptor,Nuclear receptor,0.625,0.625,4,A- (0.6-0.7)
hygrolidin,CHEBI:83959,CO[C@H]1/C=C/C=C(C)C[C@H](C)[C@H](O)[C@H](C)/C=C(\C)C=C(C)C(=O)O[C@@H]1[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](OC(=O)/C=C/C(=O)O)[C@@H](C)[C@@H](C)O1,CHEMBL256,Adenosine receptor A3,GPCR (aminergic/purinergic),0.6210526315789474,0.6210526315789474,2,A- (0.6-0.7)
hygrolidin,CHEBI:83959,CO[C@H]1/C=C/C=C(C)C[C@H](C)[C@H](O)[C@H](C)/C=C(\C)C=C(C)C(=O)O[C@@H]1[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](OC(=O)/C=C/C(=O)O)[C@@H](C)[C@@H](C)O1,CHEMBL1947,Thyroid hormone receptor beta,Nuclear receptor,0.6210526315789474,0.6210526315789474,2,A- (0.6-0.7)
2-aminobenzoylacetic acid,CHEBI:131950,Nc1ccccc1C(=O)CC(=O)O,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.6206896551724138,0.6206896551724138,25,A- (0.6-0.7)
4-(phosphonooxy)-L-threonine,CHEBI:18336,N[C@H](C(=O)O)[C@H](O)COP(=O)(O)O,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.6206896551724138,0.6206896551724138,8,A- (0.6-0.7)
"35-aminobacteriohopane-30,31,32,33,34-pentol",CHEBI:87085,C[C@H]([C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CN)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,CHEMBL335,Tyrosine-protein phosphatase non-receptor type 1,Other receptor/GPCR,0.62,0.62,2,A- (0.6-0.7)
spiramycin I,CHEBI:85260,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6194690265486725,0.6194690265486725,4,A- (0.6-0.7)
"2,6-diaminopimelic acid",CHEBI:23673,NC(CCCC(N)C(=O)O)C(=O)O,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6190476190476191,0.6190476190476191,19,A- (0.6-0.7)
canthaxanthin,CHEBI:3362,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6190476190476191,0.6190476190476191,12,A- (0.6-0.7)
"LL-2,6-diaminopimelic acid",CHEBI:16026,N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O,CHEMBL1075189,Pyruvate kinase PKM,Kinase,0.6190476190476191,0.6190476190476191,19,A- (0.6-0.7)
"2,6-diaminopimelic acid",CHEBI:23673,NC(CCCC(N)C(=O)O)C(=O)O,CHEMBL1075189,Pyruvate kinase PKM,Kinase,0.6190476190476191,0.6190476190476191,19,A- (0.6-0.7)
"LL-2,6-diaminopimelic acid",CHEBI:16026,N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6190476190476191,0.6190476190476191,19,A- (0.6-0.7)
27-O-demethylrifamycin SV,CHEBI:34311,CC(=O)O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)Nc2cc(O)c3c4c(c(C)c(O)c3c2O)O[C@](C)(O/C=C/[C@H](O)[C@H]1C)C4=O,CHEMBL230,Prostaglandin G/H synthase 2,Enzyme (other),0.6176470588235294,0.6176470588235294,12,A- (0.6-0.7)
27-O-demethylrifamycin SV,CHEBI:34311,CC(=O)O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)Nc2cc(O)c3c4c(c(C)c(O)c3c2O)O[C@](C)(O/C=C/[C@H](O)[C@H]1C)C4=O,CHEMBL236,Delta-type opioid receptor,GPCR (aminergic/purinergic),0.6176470588235294,0.6176470588235294,12,A- (0.6-0.7)
27-O-demethylrifamycin SV,CHEBI:34311,CC(=O)O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)Nc2cc(O)c3c4c(c(C)c(O)c3c2O)O[C@](C)(O/C=C/[C@H](O)[C@H]1C)C4=O,CHEMBL234,D(3) dopamine receptor,GPCR (aminergic/purinergic),0.6176470588235294,0.6176470588235294,12,A- (0.6-0.7)
27-O-demethylrifamycin SV,CHEBI:34311,CC(=O)O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)Nc2cc(O)c3c4c(c(C)c(O)c3c2O)O[C@](C)(O/C=C/[C@H](O)[C@H]1C)C4=O,CHEMBL226,Adenosine receptor A1,GPCR (aminergic/purinergic),0.6176470588235294,0.6176470588235294,12,A- (0.6-0.7)
27-O-demethylrifamycin SV,CHEBI:34311,CC(=O)O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)Nc2cc(O)c3c4c(c(C)c(O)c3c2O)O[C@](C)(O/C=C/[C@H](O)[C@H]1C)C4=O,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.6176470588235294,0.6176470588235294,12,A- (0.6-0.7)
27-O-demethylrifamycin SV,CHEBI:34311,CC(=O)O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)Nc2cc(O)c3c4c(c(C)c(O)c3c2O)O[C@](C)(O/C=C/[C@H](O)[C@H]1C)C4=O,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.6176470588235294,0.6176470588235294,12,A- (0.6-0.7)
"5a,11a-dehydrooxytetracycline",CHEBI:134368,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3=C([C@H](O)[C@@H]12)[C@](C)(O)c1cccc(O)c1C3=O,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.6176470588235294,0.6176470588235294,8,A- (0.6-0.7)
2'-deoxycytidine,CHEBI:15698,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6170212765957447,0.6170212765957447,12,A- (0.6-0.7)
2'-deoxycytidine,CHEBI:15698,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6170212765957447,0.6170212765957447,12,A- (0.6-0.7)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,Enzyme (other),0.6153846153846154,0.6153846153846154,15,A- (0.6-0.7)
N-acetyl-D-glucosamine,CHEBI:506227,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6153846153846154,0.6153846153846154,13,A- (0.6-0.7)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6153846153846154,0.6153846153846154,15,A- (0.6-0.7)
N-acetyl-D-mannosamine,CHEBI:63153,CC(=O)N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6153846153846154,0.6153846153846154,13,A- (0.6-0.7)
tetrangulol,CHEBI:32212,Cc1cc(O)c2c3c(ccc2c1)C(=O)c1c(O)cccc1C3=O,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.6153846153846154,0.6153846153846154,21,A- (0.6-0.7)
pyridoxal,CHEBI:17310,Cc1ncc(CO)c(C=O)c1O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6153846153846154,0.6153846153846154,1,A- (0.6-0.7)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL2003,Retinoic acid receptor gamma,Nuclear receptor,0.6153846153846154,0.6153846153846154,15,A- (0.6-0.7)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6153846153846154,0.6153846153846154,15,A- (0.6-0.7)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6153846153846154,0.6153846153846154,15,A- (0.6-0.7)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL2055,Retinoic acid receptor alpha,Nuclear receptor,0.6153846153846154,0.6153846153846154,15,A- (0.6-0.7)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL2061,Retinoic acid receptor RXR-alpha,Nuclear receptor,0.6153846153846154,0.6153846153846154,15,A- (0.6-0.7)
N-acetyl-D-galactosamine,CHEBI:28037,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6153846153846154,0.6153846153846154,13,A- (0.6-0.7)
3-hydroxypropionic acid,CHEBI:33404,O=C(O)CCO,CHEMBL5697,Egl nine homolog 1,Other,0.6153846153846154,0.6153846153846154,18,A- (0.6-0.7)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL2008,Retinoic acid receptor beta,Nuclear receptor,0.6153846153846154,0.6153846153846154,15,A- (0.6-0.7)
