metabolite,chebi_id,met_smiles,target_chembl_id,target_name,target_class,analog_similarity,nn_analog,metabolite_promiscuity,tier
1D-myo-inositol 1-phosphate,CHEBI:18297,O=P(O)(O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,Kinase,0.75,0.75,1,A (0.7-1.0)
"1,2-dibutyrin",CHEBI:76537,CCCC(=O)OCC(CO)OC(=O)CCC,CHEMBL299,Protein kinase C alpha type,Kinase,0.75,0.75,10,A (0.7-1.0)
CMP-5'-phosphonoformic acid,CHEBI:131759,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)C(=O)O)[C@@H](O)[C@H]2O)c(=O)n1,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.7454545454545455,0.7454545454545455,22,A (0.7-1.0)
erythromycin A(1+),CHEBI:64268,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.7411764705882353,0.7411764705882353,5,A (0.7-1.0)
erythromycin A(1+),CHEBI:64268,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.7411764705882353,0.7411764705882353,5,A (0.7-1.0)
erythromycin A(1+),CHEBI:64268,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CHEMBL4302,ATP-dependent translocase ABCB1,Other,0.7411764705882353,0.7411764705882353,5,A (0.7-1.0)
leucomycin V,CHEBI:31753,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.74,0.74,4,A (0.7-1.0)
menaquinone,CHEBI:16374,CC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.7368421052631579,0.7368421052631579,22,A (0.7-1.0)
menaquinone,CHEBI:16374,CC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.7368421052631579,0.7368421052631579,22,A (0.7-1.0)
menaquinone,CHEBI:16374,CC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,CHEMBL256,Adenosine receptor A3,GPCR (aminergic/purinergic),0.7368421052631579,0.7368421052631579,22,A (0.7-1.0)
menaquinone,CHEBI:16374,CC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,CHEMBL234,D(3) dopamine receptor,GPCR (aminergic/purinergic),0.7368421052631579,0.7368421052631579,22,A (0.7-1.0)
glutathioselenol,CHEBI:64729,N[C@@H](CCC(=O)N[C@@H](CS[SeH])C(=O)NCC(=O)O)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.7333333333333333,0.7333333333333333,10,A (0.7-1.0)
glutathioselenol,CHEBI:64729,N[C@@H](CCC(=O)N[C@@H](CS[SeH])C(=O)NCC(=O)O)C(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.7333333333333333,0.7333333333333333,10,A (0.7-1.0)
"7,8-dihydro-beta-carotene",CHEBI:80427,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCC1=C(C)CCCC1(C)C,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.7333333333333333,0.7333333333333333,15,A (0.7-1.0)
S-(hydroxymethyl)glutathione,CHEBI:48926,N[C@@H](CCC(=O)N[C@@H](CSCO)C(=O)NCC(=O)O)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.7333333333333333,0.7333333333333333,11,A (0.7-1.0)
S-(hydroxymethyl)glutathione,CHEBI:48926,N[C@@H](CCC(=O)N[C@@H](CSCO)C(=O)NCC(=O)O)C(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.7333333333333333,0.7333333333333333,11,A (0.7-1.0)
glutathione disulfide,CHEBI:17858,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.7317073170731707,0.7317073170731707,13,A (0.7-1.0)
zeaxanthin,CHEBI:27547,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,Enzyme (other),0.7291666666666666,0.7291666666666666,13,A (0.7-1.0)
antimycin A14,CHEBI:211523,CCC(C)CCC(=O)O[C@H]1[C@H](C)OC(=O)[C@@H](NC(=O)c2cccc(NC=O)c2O)[C@@H](C)OC(=O)[C@@H]1CCC(C)C,CHEMBL4860,Apoptosis regulator Bcl-2,Other,0.7272727272727273,0.7272727272727273,3,A (0.7-1.0)
L-citrulline,CHEBI:16349,NC(=O)NCCC[C@H](N)C(=O)O,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.7241379310344828,0.7241379310344828,15,A (0.7-1.0)
L-citrulline,CHEBI:16349,NC(=O)NCCC[C@H](N)C(=O)O,CHEMBL4481,"Nitric oxide synthase, inducible",Enzyme (other),0.7241379310344828,0.7241379310344828,15,A (0.7-1.0)
L-citrulline,CHEBI:16349,NC(=O)NCCC[C@H](N)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.7241379310344828,0.7241379310344828,15,A (0.7-1.0)
framycetin,CHEBI:7508,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,Enzyme (other),0.723404255319149,0.723404255319149,4,A (0.7-1.0)
nogalamycin,CHEBI:44504,COC(=O)[C@@H]1c2cc3c(c(O)c2[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC)[C@@](C)(OC)[C@H]2OC)C[C@]1(C)O)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1O[C@@]2(C)[C@H](O)[C@@H](N(C)C)[C@@H]1O,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.7222222222222222,0.7222222222222222,6,A (0.7-1.0)
nogalamycin,CHEBI:44504,COC(=O)[C@@H]1c2cc3c(c(O)c2[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC)[C@@](C)(OC)[C@H]2OC)C[C@]1(C)O)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1O[C@@]2(C)[C@H](O)[C@@H](N(C)C)[C@@H]1O,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.7222222222222222,0.7222222222222222,6,A (0.7-1.0)
nogalamycin,CHEBI:44504,COC(=O)[C@@H]1c2cc3c(c(O)c2[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC)[C@@](C)(OC)[C@H]2OC)C[C@]1(C)O)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1O[C@@]2(C)[C@H](O)[C@@H](N(C)C)[C@@H]1O,CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,Enzyme (other),0.7222222222222222,0.7222222222222222,6,A (0.7-1.0)
nogalamycin,CHEBI:44504,COC(=O)[C@@H]1c2cc3c(c(O)c2[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC)[C@@](C)(OC)[C@H]2OC)C[C@]1(C)O)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1O[C@@]2(C)[C@H](O)[C@@H](N(C)C)[C@@H]1O,CHEMBL3356,Cytochrome P450 1A2,CYP (metabolism),0.7222222222222222,0.7222222222222222,6,A (0.7-1.0)
antimycin A14,CHEBI:211523,CCC(C)CCC(=O)O[C@H]1[C@H](C)OC(=O)[C@@H](NC(=O)c2cccc(NC=O)c2O)[C@@H](C)OC(=O)[C@@H]1CCC(C)C,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.717948717948718,0.717948717948718,3,A (0.7-1.0)
S-(chloromethyl)glutathione,CHEBI:136417,N[C@@H](CCC(=O)N[C@@H](CSCCl)C(=O)NCC(=O)O)C(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.717391304347826,0.717391304347826,10,A (0.7-1.0)
selenodiglutathione,CHEBI:26634,N[C@@H](CCC(=O)N[C@@H](CS[Se]SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.717391304347826,0.717391304347826,8,A (0.7-1.0)
selenodiglutathione,CHEBI:26634,N[C@@H](CCC(=O)N[C@@H](CS[Se]SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.717391304347826,0.717391304347826,8,A (0.7-1.0)
S-formylglutathione,CHEBI:16225,N[C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(=O)O)C(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.717391304347826,0.717391304347826,8,A (0.7-1.0)
S-formylglutathione,CHEBI:16225,N[C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(=O)O)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.717391304347826,0.717391304347826,8,A (0.7-1.0)
S-(chloromethyl)glutathione,CHEBI:136417,N[C@@H](CCC(=O)N[C@@H](CSCCl)C(=O)NCC(=O)O)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.717391304347826,0.717391304347826,10,A (0.7-1.0)
rhodopin,CHEBI:35331,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)CCCC(C)(C)O,CHEMBL208,Progesterone receptor,Nuclear receptor,0.7142857142857143,0.7142857142857143,4,A (0.7-1.0)
"(3E)-3,4-didehydrorhodopin",CHEBI:62481,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.7142857142857143,0.7142857142857143,4,A (0.7-1.0)
"(3E)-3,4-didehydrorhodopin",CHEBI:62481,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O,CHEMBL208,Progesterone receptor,Nuclear receptor,0.7142857142857143,0.7142857142857143,4,A (0.7-1.0)
rhodopin,CHEBI:35331,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)CCCC(C)(C)O,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.7142857142857143,0.7142857142857143,4,A (0.7-1.0)
L-arginine,CHEBI:16467,N=C(N)NCCC[C@H](N)C(=O)O,CHEMBL3568,Nitric oxide synthase 1,Enzyme (other),0.7096774193548387,0.7096774193548387,21,A (0.7-1.0)
L-arginine,CHEBI:16467,N=C(N)NCCC[C@H](N)C(=O)O,CHEMBL4803,Nitric oxide synthase 3,Enzyme (other),0.7096774193548387,0.7096774193548387,21,A (0.7-1.0)
antimycin A14,CHEBI:211523,CCC(C)CCC(=O)O[C@H]1[C@H](C)OC(=O)[C@@H](NC(=O)c2cccc(NC=O)c2O)[C@@H](C)OC(=O)[C@@H]1CCC(C)C,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.7088607594936709,0.7088607594936709,3,A (0.7-1.0)
tetracycline,CHEBI:27902,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CHEMBL206,Estrogen receptor,Nuclear receptor,0.7083333333333334,0.7083333333333334,8,A (0.7-1.0)
